Splits	Weights	GCA_000149735.1	GCA_000318465.2	GCA_000333055.2	GCA_000333075.3	GCA_000333095.2	GCA_000333115.2	GCA_000336535.2	GCA_000338795.2	GCA_000338815.2	GCA_000340395.2	GCA_000439335.1	GCA_000443045.1	GCA_000448265.2	GCA_000468175.2	GCA_000500205.2	GCA_000500225.2	GCA_000509465.1	GCA_000509485.1	GCA_000509505.1	GCA_000509525.1	GCA_000686205.4	GCA_000687305.2	GCA_000751395.2	GCA_000785725.3	GCA_000785735.3	GCA_001278135.1	GCA_001278145.1	GCA_001278155.1	GCA_001278165.1	GCA_001278215.1	GCA_001278225.1	GCA_001278235.1	GCA_001314345.1	GCA_001314355.1	GCA_001314365.1	GCA_001314375.1	GCA_001314425.1	GCA_001314435.1	GCA_001314445.1	GCA_001314455.1	GCA_001314505.1	GCA_001314925.1	GCA_001482985.1	GCA_001483015.1	GCA_001707905.2	GCA_001712645.2	GCA_001712655.1	GCA_001712705.2	GCA_001712715.2	GCA_001933315.1	GCA_001933325.1	GCA_001933335.1	GCA_001933345.1	GCA_001933395.1	GCA_001933405.1	GCA_001933415.1	GCA_001933455.1	GCA_001933465.1	GCA_001933485.1	GCA_001955675.1	GCA_002025845.1	GCA_002025925.1	GCA_002215365.1	GCA_002247145.1	GCA_002288995.1	GCA_002734105.1	GCA_002734125.1	GCA_002812785.1	GCA_002911725.1	GCA_002968915.1	GCA_003287315.1	GCA_003328465.1	GCA_003956735.1	GCA_004137865.1	GCA_004137885.1	GCA_004137955.1	GCA_004137965.1	GCA_004137975.1	GCA_004138045.1	GCA_009732905.1	GCA_009732925.1	GCA_009732945.1	GCA_009732985.1	GCA_009733005.1	GCA_009733025.1	GCA_009733045.1	GCA_009733065.1	GCA_009733085.1	GCA_009733105.1	GCA_009733125.1	GCA_009733145.1	GCA_012295415.1	GCA_012295425.1	GCA_012295475.1	GCA_012552325.1	GCA_012656105.1	GCA_012932265.1	GCA_016618375.1	GCA_016864635.1	GCA_016864665.1	GCA_016864695.1	GCA_016864715.1	GCA_016864735.1	GCA_016864755.1	GCA_016864775.1	GCA_016864795.1	GCA_016864815.1	GCA_016864835.1	GCA_016864855.1	GCA_016865055.1	GCA_016865075.1	GCA_016865085.1	GCA_016865095.1	GCA_016880175.1	GCA_016880985.1	GCA_016906365.1	GCA_017309695.1	GCA_018292885.1	GCA_018292895.1	GCA_018292905.1	GCA_018691715.1	GCA_018873745.1	GCA_018873755.1	GCA_019155685.1	GCA_019155715.1	GCF_000142945.1	GCF_000149755.1	GCF_000247585.1
1	0.002363962570100297	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.0032587862348905944	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	0.0025513929915317876	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	2.5417113454612297E-4	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	0.0018663540856878086	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	0.0015378076983563831	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.0017467027151112603	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8	0.002002971446601575	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	0.005041911908127719	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	5.298046431825936E-4	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
